200;0;0.02;0.5;0.5;0;0;;Spalte;Daten;
225;0.005;0.03;0.49;0.48;0;0;;A;T / °C;Gao 2012, CO methanation stoichiometric, 1 atm
250;0.01;0.04;0.48;0.47;0;0;;B;x_CO2;Gao 2012, CO methanation stoichiometric, 1 atm
275;0.015;0.05;0.48;0.47;0;0;;C;x_H2;Gao 2012, CO methanation stoichiometric, 1 atm
300;0.02;0.07;0.47;0.46;0;0;;D;x_CH4;Gao 2012, CO methanation stoichiometric, 1 atm
325;0.025;0.09;0.46;0.44;0;0;;E;x_H2O;Gao 2012, CO methanation stoichiometric, 1 atm
350;0.03;0.11;0.45;0.42;0;0;;F;x_CO2;Gao 2012, CO methanation stoichiometric, 1 atm
375;0.035;0.14;0.43;0.4;0;0;;G;x_C;Gao 2012, CO methanation stoichiometric, 1 atm
400;0.04;0.18;0.42;0.38;0;0;;;;
425;0.045;0.22;0.39;0.34;0;0;;;;
450;0.05;0.25;0.37;0.32;0.01;0.01;;;;
475;0.055;0.3;0.32;0.29;0.02;0.03;;;;
500;0.06;0.35;0.28;0.27;0.02;0.04;;;;
525;0.06;0.38;0.23;0.24;0.03;0.06;;;;
550;0.055;0.44;0.2;0.21;0.04;0.07;;;;
575;0.055;0.48;0.17;0.18;0.05;0.07;;;;
600;0.05;0.53;0.14;0.16;0.07;0.08;;Source;Gao 2012 (calculated, https://doi.org/10.1039/c2ra00632d);
625;0.045;0.57;0.11;0.13;0.09;0.06;;;;
650;0.04;0.59;0.09;0.11;0.11;0.06;;;;
675;0.035;0.63;0.08;0.09;0.14;0.05;;;;
700;0.03;0.65;0.06;0.08;0.17;0.04;;;;
725;0.025;0.68;0.05;0.06;0.18;0.03;;;;
750;0.02;0.69;0.04;0.04;0.2;0.02;;;;
775;0.015;0.71;0.03;0.03;0.22;0.02;;;;
800;0.01;0.72;0.03;0.03;0.23;0.01;;;;
